"","Loans.funded_amnt","Loans.loan_amnt","Loans.dti","Loans.emp_length","Loans.installment","Loans.annual_inc","Loans.revol_bal","earlyear","proputil","Loans.open_acc","Loans.loan_status"
"21429",17275,17275,17.65,0,386.29,75000,16485,100,40.6,10,"Fully Paid"
"17019",5000,5000,18.3,4,173.11,64312,8418,101,96.8,8,"Fully Paid"
"28565",5300,5300,12.17,4,163.99,36000,5452,100,13.1,19,"Fully Paid"
"17805",6000,6000,13.3,5,187.08,50000,5272,100,43.6,14,"Fully Paid"
"16055",12000,12000,20.54,10,391.39,75000,9986,98,54.9,13,"Fully Paid"
"16375",5000,5000,8.46,6,155.05,42000,2103,101,37.6,7,"Fully Paid"
"38657",2500,2500,11.33,4,78.42,110000,7274,90,13.1,13,"Fully Paid"
"7986",12050,16000,16.63,0,274.12,48000,10590,99,84.7,10,"Fully Paid"
"20400",8400,8400,13.55,10,281.46,71000,4277,95,87.3,10,"Fully Paid"
"12350",5500,5500,5.33,3,165.88,80000,1264,97,3.9,9,"Fully Paid"
"17552",8000,8000,21.1,2,248.08,24000,0,105,0,6,"Fully Paid"
"15173",11200,11200,10.03,10,366.63,132000,19159,102,93.9,8,"Fully Paid"
"7578",17625,26500,11.19,10,379.62,81000,6071,95,42.2,8,"Fully Paid"
"21408",25000,25000,18.55,5,860.04,98000,31720,96,68.7,17,"Fully Paid"
"30402",7000,7000,0,10,234.97,83000,0,85,0,3,"Fully Paid"
"37422",7000,7500,8.62,10,226.96,68608,22595,100,61.9,4,"Fully Paid"
"12251",4000,4000,14.44,1,136.7,30000,3994,107,46.4,7,"Fully Paid"
"12771",13625,13625,23.72,4,446.01,64900,9513,101,71,16,"Fully Paid"
"35871",3000,3000,18.95,2,104.08,41600,4285,102,44.6,9,"Fully Paid"
"19604",25000,25000,25.17,7,819.78,70000,28893,89,66.1,11,"Fully Paid"
"32970",5000,5000,1.65,1,171.53,40000,5536,105,72.8,4,"Fully Paid"
"9780",7500,7500,9.76,3,247.29,100300,4646,98,30.8,11,"Fully Paid"
"4423",11200,11200,9.76,4,384.26,46000,14417,95,64.1,6,"Fully Paid"
"32274",8000,8000,10.59,0,267.74,90000,9304,99,28.3,15,"Fully Paid"
"30297",10000,10000,10.64,6,346.47,45000,1468,98,86.4,2,"Fully Paid"
"34991",3450,3450,21.6,3,108.11,29000,22245,90,44.5,10,"Fully Paid"
"12233",12000,12000,4.29,3,370.48,125000,4971,84,9.6,7,"Fully Paid"
"15717",10975,10975,13.16,3,342.2,54000,9891,98,52.1,7,"Fully Paid"
"4998",15000,15000,12.16,10,550.07,183000,0,100,37.63,3,"Fully Paid"
"34704",7300,7300,10.52,4,233.22,30000,8351,100,22.1,16,"Fully Paid"
"18678",7000,7000,3.27,5,215.89,54996,920,104,8.8,7,"Fully Paid"
"30504",8250,8250,11.53,4,271.52,33000,8467,95,47,7,"Fully Paid"
"22380",7500,7500,2.4,10,228.75,110000,0,95,0,6,"Fully Paid"
"14230",11000,11000,11.82,0,347.2,40000,10326,100,49.4,6,"Fully Paid"
"15940",9600,9600,17.91,2,193.1,56000,3581,94,21.1,7,"Fully Paid"
"27747",7000,7000,11.38,1,228.35,120000,22837,94,89.9,10,"Fully Paid"
"31649",22000,22000,8.51,0,724.05,110000,20418,88,74.8,6,"Fully Paid"
"16899",15000,15000,13.73,8,344.61,62500,4263,87,4.8,14,"Fully Paid"
"17532",6000,6000,21.8,3,195.7,55000,5798,100,67.4,4,"Fully Paid"
"8999",8000,8000,18.09,10,283.2,116664,5743,99,91.2,10,"Fully Paid"
"11494",16000,16000,7.24,0,368.08,3e+05,4094,90,68.2,8,"Fully Paid"
"2403",24250,24250,15.21,5,889.28,55000,7832,87,73.2,8,"Fully Paid"
"34507",10000,10000,3.6,2,338.01,32000,0,104,0.04,3,"Fully Paid"
"25856",3000,3000,4.08,3,103.05,20000,1900,103,70.4,4,"Fully Paid"
"17007",22100,22100,8.4,10,685.32,72000,21691,96,43.4,6,"Fully Paid"
"19006",14400,14400,18.1,6,464.65,72000,29513,100,80.1,9,"Fully Paid"
"13469",18000,18000,9.53,3,568.14,102000,25731,83,43.8,13,"Fully Paid"
"7260",7000,7000,22.18,10,150.98,30996,2994,94,54.4,5,"Fully Paid"
"23657",2225,2225,9.8,5,42.8,24000,5026,92,8.2,21,"Fully Paid"
"34352",20000,20000,9.19,5,659.37,50950,14818,97,26.3,13,"Fully Paid"
"28650",7575,10000,22.29,1,150.5,54000,7796,93,14.3,11,"Fully Paid"
"29422",1800,1800,14.07,10,60.75,53544,2707,95,60.2,7,"Fully Paid"
"31710",10000,10000,0.54,2,331.34,40000,554,99,14.2,4,"Fully Paid"
"2982",1300,1300,9.72,1,40.68,41000,6474,75,88.7,5,"Fully Paid"
"5610",6000,6000,3.91,2,186.67,82000,15188,98,39.5,4,"Fully Paid"
"24867",4000,4000,12.79,8,123.07,67000,7648,98,11.3,13,"Fully Paid"
"11227",1500,1500,2.95,0,34.13,33000,2083,95,26.7,10,"Fully Paid"
"20955",14400,14400,11.46,7,487.63,1e+05,31528,98,95.8,6,"Fully Paid"
"29786",7000,7000,4.49,1,225.48,190000,20832,100,49.4,10,"Fully Paid"
"33260",9600,9600,13.55,5,327.72,73000,618,86,1.8,10,"Fully Paid"
"24083",8000,8000,14.28,10,274.79,110000,22673,94,74.6,15,"Fully Paid"
"12219",5700,5700,7.22,0,177.28,11476,3095,105,25.2,4,"Fully Paid"
"4993",10000,10000,9.11,2,325.74,64125,8564,105,44.8,10,"Fully Paid"
"2398",35000,35000,6.5,1,1127.88,73440,15431,92,44.2,8,"Fully Paid"
"19785",25000,25000,9.65,6,815.4,105000,83622,96,29.3,8,"Fully Paid"
"34875",10000,10000,21.89,10,320.95,50000,33895,92,33.3,8,"Fully Paid"
"15187",8000,8000,1.27,1,243.34,50000,1367,101,6.2,8,"Fully Paid"
"20286",20000,20000,21.11,5,652.32,94976,83449,92,59.1,14,"Fully Paid"
"20752",10000,10000,1.71,6,303.27,35000,894,101,1.8,7,"Fully Paid"
"31695",17600,17600,8.73,8,603.79,88000,19281,95,89.7,6,"Fully Paid"
"32963",10000,10000,0.52,10,333,85000,239,96,5.3,6,"Fully Paid"
"36410",7200,7200,18.57,2,245.35,39480,9625,102,56,10,"Fully Paid"
"19114",5800,5800,7.85,0,179.86,144000,7734,94,77.3,8,"Fully Paid"
"33110",4000,4000,10.68,3,137.91,39000,1942,106,48.5,3,"Fully Paid"
"1389",3800,3800,21.32,4,115.66,90000,0,96,0,7,"Fully Paid"
"35681",3000,3000,3.89,1,99.05,50000,9,104,0.2,4,"Fully Paid"
"10216",10625,10625,20.18,10,363.09,60785,12189,100,80.2,12,"Fully Paid"
"25017",5500,5500,8.77,2,171.11,97200,1704,86,4.6,10,"Fully Paid"
"11987",7800,7800,14.09,3,257.18,43000,3433,102,33.7,10,"Fully Paid"
"24989",15000,15000,24,1,509.83,50000,10836,101,44.4,15,"Fully Paid"
"17555",5825,5825,20.13,4,197.48,63180,15780,94,71.4,10,"Fully Paid"
"6298",9000,9000,5.69,7,210.68,43000,79,98,2.1,5,"Fully Paid"
"1592",30000,30000,17.98,1,702.26,70000,25756,97,68.1,7,"Fully Paid"
"35923",8000,8000,9.87,5,266.52,72000,54855,96,10.8,9,"Fully Paid"
"19380",4975,4975,23.16,5,161.4,30000,16348,79,63.5,13,"Fully Paid"
"28673",1000,1000,19.01,1,19.87,44564,464,102,4.4,11,"Fully Paid"
"25601",4000,4000,22.32,0,137.4,23920,10711,98,88.5,5,"Fully Paid"
"36849",14000,14000,10.33,4,464.3,84240,23149,103,32.6,5,"Fully Paid"
"24073",6250,6250,14.29,5,195.51,76000,7108,90,25.9,11,"Fully Paid"
"37811",8050,16000,3.07,1,268.5,112500,18673,95,66.7,3,"Fully Paid"
"38458",4800,4800,12.94,6,154.08,60000,2822,99,9.9,12,"Fully Paid"
"14539",17200,17200,8.53,6,617.43,90000,13400,98,69.4,14,"Fully Paid"
"20682",10000,10000,11.44,0,336.85,45000,8182,102,96.3,2,"Fully Paid"
"33287",9600,9600,10.99,4,316.5,58327,4431,99,17.3,9,"Fully Paid"
"36861",18800,18800,13.07,1,626.32,38000,26554,95,47.8,9,"Fully Paid"
"17270",6600,6600,17.82,8,216.42,21888,7456,100,63.7,12,"Fully Paid"
"16714",16000,16000,19.35,7,405.26,75500,8979,98,85.5,9,"Fully Paid"
"36730",6500,6500,9.18,4,208.62,39996,3736,95,14.2,11,"Fully Paid"
"36653",5000,5000,6.38,3,163.57,50000,4044,99,18,9,"Fully Paid"
"35221",3100,3100,23.89,4,99.04,56004,28774,89,71.4,10,"Fully Paid"
"31641",12000,12000,22.43,3,404.94,44412,10337,95,61.9,10,"Fully Paid"
"38293",14400,14400,9.96,10,461.35,88068,4765,93,16.5,10,"Fully Paid"
"30341",12000,12000,23.01,10,392.83,120000,74979,95,0,6,"Fully Paid"
"25624",20000,20000,16.97,3,495.12,41356.8,13313,100,91.8,8,"Fully Paid"
"20728",19750,19750,20.78,10,491.48,60000,14008,96,57.4,12,"Fully Paid"
"28529",13200,13200,16.61,10,334.7,62400,15371,98,23.2,25,"Fully Paid"
"24404",24000,24000,2.32,10,553.6,115000,3992,95,29.8,8,"Fully Paid"
"1767",35000,35000,4.34,1,819.3,550000,19107,79,0.6,19,"Fully Paid"
"28084",2500,2500,1.87,0,84.98,27000,1291,105,75.9,2,"Fully Paid"
"34416",12000,12000,6.67,10,397.61,91234.2,11107,87,42.6,5,"Fully Paid"
"21240",5000,5000,19.08,3,169.32,50000,10305,104,41.8,17,"Fully Paid"
"19903",9000,9000,6.91,4,306.73,180000,8588,96,80.3,12,"Fully Paid"
"9743",7075,7075,11.78,10,215.21,96000,25357,90,45.6,6,"Fully Paid"
"15986",14000,14000,16.73,9,354.6,35000,7524,103,59.7,9,"Fully Paid"
"14417",9000,9000,24.15,3,209.37,48000,3253,106,21.8,11,"Fully Paid"
"15161",16000,16000,29.11,3,351.81,73000,12702,97,58,12,"Fully Paid"
"31385",1000,1000,10.34,2,33.93,88000,30435,99,93.6,10,"Fully Paid"
"14388",7600,7600,1.43,3,234.64,115000,1191,92,4.4,6,"Fully Paid"
"50",11000,11000,10.85,5,337.75,70000,11638,102,36.4,5,"Fully Paid"
"16",1000,1000,20.31,0,35.31,28000,6524,107,81.5,11,"Fully Paid"
"2186",10000,10000,23.71,1,334.16,42000,9784,102,89.4,7,"Fully Paid"
"5057",5000,5000,17.95,7,134.96,74000,3852,93,98.8,13,"Fully Paid"
"2850",35000,35000,3.3,3,1111.37,277000,6888,88,32,4,"Fully Paid"
"21207",25000,25000,16.77,10,587.69,115000,53282,89,82,14,"Fully Paid"
"31609",12000,12000,4.47,9,392.83,95000,13855,87,42.5,4,"Fully Paid"
"14859",17700,28500,0.77,7,461.98,56400,1258,102,6.6,4,"Fully Paid"
"8957",8000,8000,8.77,0,246.99,72252,28214,101,50.4,10,"Fully Paid"
"7936",8000,8000,21.08,5,241.28,90000,572,100,3.6,11,"Fully Paid"
"27847",4000,4000,10.19,4,123.77,71000,7315,85,6.8,21,"Fully Paid"
"36341",20000,20000,9.76,4,693.83,65400,0,97,0,10,"Fully Paid"
"23595",8000,8000,22.67,10,155.3,53400,26491,94,51.6,15,"Fully Paid"
"6659",14000,14000,25.8,2,456.03,56000,14620,104,21.9,14,"Fully Paid"
"14576",10800,10800,0,10,358.67,80000,0,92,0,6,"Fully Paid"
"27872",9600,9600,18,3,211.09,46000,10079,101,49.9,11,"Fully Paid"
"20893",25000,25000,10.37,10,637.15,93000,15891,95,91.3,8,"Fully Paid"
"36142",12000,12000,13.14,10,385.14,210000,56967,83,28.3,15,"Fully Paid"
"36375",14000,14000,21.21,10,481.36,69996,40125,93,92,10,"Fully Paid"
"15168",4000,4000,25.17,10,120.64,45000,5778,80,20.1,7,"Fully Paid"
"1961",23000,23000,29.83,10,519.68,80000,22875,87,60.3,14,"Fully Paid"
"12279",24000,24000,24.51,4,872.37,110000,20094,95,64.2,10,"Fully Paid"
"34646",20000,20000,16.83,10,676.02,165000,144165,89,64.9,9,"Fully Paid"
"36067",10000,10000,15.05,3,320.95,37965.24,1571,98,11.9,9,"Fully Paid"
"37377",4500,6400,13.02,0,141.68,40000,12183,91,45.1,6,"Fully Paid"
"29195",7200,7200,2.02,0,246.85,82500,1399,101,42.4,5,"Fully Paid"
"22390",7925,13000,4.68,0,241.71,49000,6438,97,19.8,6,"Fully Paid"
"5980",18000,18000,15.99,7,560,115000,36036,87,54.8,14,"Fully Paid"
"17125",34000,34000,11.34,2,728.61,195000,49787,93,49.8,13,"Fully Paid"
"11931",35000,35000,13.11,9,888.58,115000,13683,99,48.2,12,"Fully Paid"
"28313",12000,12000,8.2,9,371.3,125004,19418,97,9.6,11,"Fully Paid"
"28228",10000,10000,3.48,2,228.71,40000,2405,100,8.1,8,"Fully Paid"
"10885",8000,8000,14.43,3,273.39,83135,12636,90,87.7,10,"Fully Paid"
"26472",15000,15000,8.07,3,332.61,66000,21605,95,43.5,17,"Fully Paid"
"17455",18000,18000,11.13,10,416.97,80400,14558,94,22.3,17,"Fully Paid"
"1925",10000,10000,4.96,3,307.04,80004,5100,99,53.7,13,"Fully Paid"
"22221",4800,4800,22.01,4,155.7,66560,8666,100,76,9,"Fully Paid"
"2217",17500,17500,18.93,10,570.04,78413,29221,90,88.5,8,"Fully Paid"
"17581",5400,5400,23.89,4,167.46,45000,7701,101,89.5,8,"Fully Paid"
"16914",7000,7000,21.96,3,224.66,50000,9216,92,29.7,11,"Fully Paid"
"25252",16000,16000,8.47,3,521.93,55000,19951,100,58,8,"Fully Paid"
"831",20000,20000,18.97,5,533.23,51750,19557,97,92.5,18,"Fully Paid"
"36652",15000,15000,6.52,5,522.7,123000,92391,101,72.6,11,"Fully Paid"
"21330",25000,25000,7.61,4,627.11,117000,14384,87,70.2,5,"Fully Paid"
"6485",24000,24000,21.31,6,750.97,66000,34825,90,49.6,16,"Fully Paid"
"2073",15000,15000,17.46,6,514.64,40000,8175,94,77.1,9,"Fully Paid"
"2172",15000,15000,18.18,4,508.96,60000,10532,103,72.7,9,"Fully Paid"
"13137",15000,15000,24.69,10,333.6,54000,9062,83,21.5,11,"Fully Paid"
"33167",20000,20000,5.31,3,703.15,160000,57602,93,80,13,"Fully Paid"
"36751",8350,8350,1.92,7,276.92,111000,3421,85,7.4,15,"Fully Paid"
"20590",5000,5000,2.63,4,119.48,15996,1487,96,7.7,6,"Fully Paid"
"34374",7550,7550,17.61,0,260.29,21324,10948,100,96.9,5,"Fully Paid"
"25652",3600,3600,19.93,0,123.01,55200,6239,95,80,15,"Fully Paid"
"26037",8000,8000,9.69,6,250.25,38400,11279,99,51.7,4,"Fully Paid"
"7483",8400,8400,10.63,10,278.97,65454,6616,104,36.8,7,"Fully Paid"
"36233",14400,14400,10.35,0,488.49,62000,17499,104,60,12,"Fully Paid"
"32466",10000,10000,16.33,10,348.16,86000,17768,80,65.8,22,"Fully Paid"
"32899",20000,20000,22.64,10,662.68,154000,32654,74,39.2,16,"Fully Paid"
"20246",10000,10000,12.91,4,326.16,135000,29374,94,74.6,11,"Fully Paid"
"3817",14800,14800,12.28,3,334.41,38000,20828,101,59,11,"Fully Paid"
"20309",14250,14250,23.03,5,444.32,119000,17847,99,62.6,10,"Fully Paid"
"36169",10000,10000,8.54,0,339.23,75000,24485,97,26.3,11,"Fully Paid"
"23357",9050,14000,22.65,10,177.25,40000,4789,91,4.1,13,"Fully Paid"
"7072",22000,22000,5.64,10,737.99,82600,5686,98,69.3,7,"Fully Paid"
"21396",13200,13200,12.51,0,318,95000,28894,95,95.3,11,"Fully Paid"
"30573",2500,2500,10.36,1,88.45,38000,417,107,59.6,2,"Fully Paid"
"21464",14500,14500,12.64,3,444.68,90000,742,99,2.3,11,"Fully Paid"
"16052",1500,1500,18.34,1,46.52,32000,17051,101,54.1,13,"Fully Paid"
"19832",14000,14000,9.37,0,502.7,95000,13522,101,98,3,"Fully Paid"
"18481",9000,9000,15.04,0,203.31,37500,5499,103,56.1,7,"Fully Paid"
"21576",15000,15000,15.89,10,460.01,59500,56,95,0.2,5,"Fully Paid"
"26448",2500,2500,22.64,4,85.42,54000,7957,103,88.4,7,"Fully Paid"
"31097",17800,17800,17.15,6,576.45,61781,23065,81,51.1,10,"Fully Paid"
"17500",10000,10000,20.15,0,327.91,73000,924,90,28,3,"Fully Paid"
"4470",12000,12000,27.84,5,368.45,60000,18571,101,33.3,15,"Fully Paid"
"35944",9800,9800,22.62,4,313.08,34000,16248,90,23.9,14,"Fully Paid"
"5983",16800,16800,13.7,9,447.91,127000,4355,93,87.1,8,"Fully Paid"
"6947",12800,12800,6.71,10,265.09,42000,9252,89,22.3,6,"Fully Paid"
"28225",4000,4000,10.16,3,125.13,28000,920,105,36.8,5,"Fully Paid"
"26454",4200,4200,8.61,7,96.88,84880,13888,95,87.9,9,"Fully Paid"
"10740",16000,16000,19.23,5,542.89,75000,6909,103,48,10,"Fully Paid"
"5918",7000,7000,9.94,1,214.93,149400,20635,91,41.9,11,"Fully Paid"
"38471",5400,5400,16.09,1,172.55,42000,38054,101,61.2,11,"Fully Paid"
"28133",8000,8000,14.78,4,161.76,38000,4859,77,13.1,16,"Fully Paid"
"30048",16250,16250,11.45,3,531.95,77940,5822,99,37.6,5,"Fully Paid"
"32255",12000,12000,3.64,8,399.6,110000,442,96,6.9,5,"Fully Paid"
"22525",4000,4000,5.89,7,120.64,120000,2627,96,26.3,7,"Fully Paid"
"30729",20000,20000,21.4,10,689.3,85000,38316,97,70.4,9,"Fully Paid"
"32018",15000,15000,21.98,0,504.5,38000,15432,104,64,14,"Fully Paid"
"12825",13125,17950,14.6,2,408.21,130000,12699,98,47.4,7,"Fully Paid"
"12349",5000,5000,3.75,3,162.73,50176,2481,107,17.5,7,"Fully Paid"
"31563",25000,25000,16.35,9,870.71,130000,38416,94,59.4,18,"Fully Paid"
"28374",8000,8000,6.03,8,186.07,115000,0,101,0,7,"Fully Paid"
"7049",18000,18000,17.23,6,563.23,80000,28337,84,37.8,14,"Fully Paid"
"383",7000,7000,12.19,10,231.54,90000,28060,98,93.8,13,"Fully Paid"
"29196",20000,20000,15,6,674.9,38004,13156,98,76.9,10,"Fully Paid"
"36144",15000,15000,0.26,0,504.27,70000,186,97,0.7,10,"Fully Paid"
"5479",35000,35000,24.39,2,944.71,80000,27850,89,93.8,5,"Fully Paid"
"6540",2400,2400,20.4,5,80.51,92000,23347,97,88.1,11,"Fully Paid"
"2457",15800,15800,20.1,10,410.13,75000,22045,90,83.2,15,"Fully Paid"
"20952",4000,4000,24.45,10,127.67,45000,10545,100,53.8,13,"Fully Paid"
"21940",7200,7200,24.14,0,152.95,52000,2817,102,22,13,"Fully Paid"
"2649",4000,4000,21.02,10,128.9,48000,8800,98,82.2,9,"Fully Paid"
"1318",18000,18000,23.45,1,601.48,50000,18741,100,73.2,11,"Fully Paid"
"1511",20000,20000,24.92,10,485.94,65000,18414,100,87.7,10,"Fully Paid"
"26366",8500,8500,0.33,9,182.2,72000,334,94,0.8,6,"Fully Paid"
"4575",35000,35000,24.54,4,944.71,85000,9449,97,76.8,14,"Fully Paid"
"18239",28075,35000,14.87,10,711.09,120000,26874,96,28.5,18,"Fully Paid"
"37455",2750,5000,22.13,0,92.06,54996,18392,93,87.6,6,"Fully Paid"
"16200",9000,9000,12.49,4,295.12,27000,10910,107,56.5,6,"Fully Paid"
"10058",3000,3000,23.44,2,92.62,32000,1545,97,4.1,11,"Fully Paid"
"10221",12000,12000,9.54,8,276.06,170000,2140,90,71.3,7,"Fully Paid"
"25841",15000,15000,10.65,0,497.22,72000,16257,99,82.2,7,"Fully Paid"
"35340",25000,25000,1.03,2,863.42,6e+05,26856,93,0,8,"Fully Paid"
"36185",7000,7000,17.28,10,241.76,35482.2,6547,99,56.9,10,"Fully Paid"
"6889",14350,22400,18.67,9,369.42,50000,6430,102,64.9,5,"Fully Paid"
"35409",13000,13000,20.74,10,417.23,57000,59544,92,26.5,5,"Fully Paid"
"27798",15000,15000,4.3,0,469.22,65000,2438,95,19.1,6,"Fully Paid"
"5432",7000,7000,4.84,10,214.93,115742,31217,89,76.7,10,"Fully Paid"
"10899",5700,5700,23.64,4,171.92,37000,4499,97,26.9,12,"Fully Paid"
"22008",6525,10000,18.84,5,199.01,38400,10330,97,49.4,9,"Fully Paid"
"6948",12000,12000,8.15,0,411.71,85000,0,98,33.14,2,"Fully Paid"
"33126",4400,4400,17.58,3,150.21,20064,9390,105,83.8,5,"Fully Paid"
"28606",15050,24000,10.26,3,340.36,73600,15176,83,85.7,9,"Fully Paid"
"15320",10000,10000,21.63,3,230.05,40000,9422,81,69.3,11,"Fully Paid"
"34146",20000,20000,10.07,4,659.37,85000,760,101,1.9,11,"Fully Paid"
"25174",25000,25000,12.1,5,815.52,220000,19008,87,23.4,21,"Fully Paid"
"13367",4625,4625,11.67,10,139.49,43200,39,86,0.3,6,"Fully Paid"
"20106",6075,6075,7.49,9,196.03,50000,10649,101,89.5,4,"Fully Paid"
"30683",24000,24000,23,8,862.36,90000,31058,97,75.8,20,"Fully Paid"
"25843",15000,15000,11.04,3,489.31,65000,13248,96,42.6,12,"Fully Paid"
"32853",22000,22000,19.9,3,773.47,155000,72951,89,97.7,13,"Fully Paid"
"6708",12000,12000,21.07,1,368.45,48400,17666,99,55.9,7,"Fully Paid"
"16891",8200,8200,12.71,9,248.69,150000,93332,95,18.7,18,"Fully Paid"
"37826",7850,15600,6.65,2,260.62,180000,20237,97,24.4,14,"Fully Paid"
"19381",20000,20000,20.26,10,655.82,84000,20457,91,63.3,7,"Fully Paid"
"30123",6000,6000,7.12,3,194.31,90000,4615,97,57.7,3,"Fully Paid"
"28731",5200,5200,8.46,10,102.38,57000,714,95,5,7,"Fully Paid"
"8617",10000,10000,16.05,7,315.63,24000,9692,100,76.9,8,"Fully Paid"
"14213",15000,15000,7.55,9,488.18,105000,6056,105,19,6,"Fully Paid"
"28003",18000,18000,14.99,0,460.03,84996,18838,99,76,18,"Fully Paid"
"10979",12700,12700,20.95,10,331.48,60780,4611,99,74.4,9,"Fully Paid"
"18682",13000,13000,7.91,8,283.37,30000,17,100,0.2,3,"Fully Paid"
"35156",6000,6000,10.18,10,200.8,62100,7613,90,82.7,6,"Fully Paid"
"31473",8800,8800,12.77,7,300.12,36000,12326,100,92.7,6,"Fully Paid"
"26073",6000,6000,11.02,6,196.78,31680,4293,95,29.6,7,"Fully Paid"
"3086",5000,5000,17.82,10,152.18,72000,103754,85,3,10,"Fully Paid"
"32191",3000,3000,18.35,0,100.9,12816,4805,93,84.3,5,"Fully Paid"
"13518",15000,15000,12.01,7,491.01,87000,4611,56,47.5,9,"Fully Paid"
"28234",7200,7200,14.05,0,166.08,37400,3087,99,88.2,6,"Fully Paid"
"9479",4800,4800,14.15,10,157.13,54600,13010,73,65.4,8,"Fully Paid"
"9649",9475,9475,11.28,10,215.54,35000,10099,83,46.8,9,"Fully Paid"
"9245",35000,35000,19.09,4,1196.05,72400,23136,102,41.9,11,"Fully Paid"
"13363",12000,12000,11.36,10,276.06,72174,26051,96,89.8,4,"Fully Paid"
"160",8000,8000,15,10,267.33,40000,18601,104,88.2,10,"Fully Paid"
"29314",10000,10000,19.87,7,348.29,53520,13477,103,77,9,"Fully Paid"
"22813",5000,5000,16.6,10,167.54,85000,38595,88,79.6,20,"Fully Paid"
"23051",25000,25000,22.12,10,673.11,81600,11592,93,69,8,"Fully Paid"
"17634",10000,10000,12.59,4,301.6,36396,8288,87,14,14,"Fully Paid"
"30852",24000,24000,23.6,7,789.87,85000,32085,90,57,13,"Fully Paid"
"23119",5500,5500,2.6,1,184.29,48000,3935,107,46.3,4,"Fully Paid"
"7930",17975,20000,18.9,10,399.76,55800,20878,85,45,9,"Fully Paid"
"16802",6800,6800,14.25,10,145.73,103000,49493,85,83.8,4,"Fully Paid"
"29708",6725,6725,12.48,0,218.97,50400,3703,106,31.6,8,"Fully Paid"
"1228",20000,20000,9.31,4,514.86,87000,20970,91,88.4,7,"Fully Paid"
"8841",16000,16000,10.45,8,320.54,85000,4701,96,11,9,"Fully Paid"
"6424",1500,1500,13.75,1,36.45,24960,2959,107,55.8,5,"Fully Paid"
"31172",10000,10000,12.49,9,339.25,150000,39636,92,99,13,"Fully Paid"
"24821",12000,12000,5.02,1,261.63,32960.22,5332,101,53.3,9,"Fully Paid"
"22583",8000,8000,22.2,5,255.33,33996,8379,98,84.6,11,"Fully Paid"
"28333",10000,10000,14.49,10,311.11,40000,1828,96,10.2,7,"Fully Paid"
"34402",4000,4000,3.01,4,133.87,55000,3888,101,74.8,4,"Fully Paid"
